Date Collected ,Company Name                               ,URL                      ,Training Program Duration ,Anecdotal Views of Quality ,Consultant Pricing
2024-06-17     ,PPD Inc                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Planit Testing                             ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Project One                                ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Projective                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,PwC                                        ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Rockborne Limited                          ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Slalom                                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Softwire                                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Sparta Global                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Sutherland                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,TAG Solutions                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Tata Consultancy Services Limited          ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Ten10                                      ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Testhouse Ltd                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Thoughtworks                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Wavestone                                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Wipro Limited                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,ZS                                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,mthree                                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
